# 2017-12-07
# num_trials=1000
# using N_mut_list
# ngens=1
# wrap_attributes =false
# additive_error=false
# int_burn_in=125
# neutral=true
# ideal=1.0
# fit_slope=1.0
N,N_mut,mutation_stddev,num_attributes,fitness_mean,fitness_coef_var,attribute_mean,attribute_coef_var,fit_diff_neg_fract,fit_diff_neg_neutral,fit_diff_pos_neutral,fit_diff_pos_fract
6400,0.125,1.953125e-5,1,1.0,0.0,0.9986856154042486,0.0016391432538007393,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0000573112168092,0.000951123541778793,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9998335632680085,0.0024155392119822802,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0076379855627924,0.0008293136005827087,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9942939394084295,0.0017306541006517954,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9979352392774734,0.0010362268300994533,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.998101239240317,0.0010131918567817177,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.9992893737583077,0.002108121842756224,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0038020919854744,0.0012078726541989862,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0025285393967502,0.0007988597042093835,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.001273708604716,0.0014370877447064227,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0004399900141103,0.0011618273108554933,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,0.999377076744753,0.0009567270259243035,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0000501638368597,0.0007838336681106031,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.000010436294341,0.0008939576396367,0.0,0.0,1.0,0.0
6400,0.125,1.953125e-5,1,1.0,0.0,1.0017388159139353,0.0011706111074250096,0.0,0.0,1.0,0.0
